date,capture.success,rain.mm,maxtp,mintp,year
15/02/2023,0,5.4,10.6,5.5,2023
19/02/2023,1,0,12.3,7.2,2023
20/02/2023,1,0,12.7,6.7,2023
21/02/2023,0,1.1,12.7,7.6,2023
22/02/2023,0,1.2,8.2,3.4,2023
23/02/2023,1,0,9.5,-0.1,2023
24/02/2023,1,0,11.1,2.5,2023
25/02/2023,1,0,7.2,1.1,2023
26/02/2023,0,0,8.9,5.2,2023
27/02/2023,1,0,7.9,5.9,2023
28/02/2023,1,0.9,7.4,4.1,2023
14/03/2023,0,1.3,7.3,-0.7,2023
15/03/2023,0,6.4,10.9,-1,2023
16/03/2023,0,1,15.2,8.5,2023
09/02/2024,0,4.5,7,4.2,2024
10/02/2024,0,0.1,10.3,1.4,2024
11/02/2024,1,0.1,9.2,2.4,2024
12/02/2024,0,0.7,8.9,2.1,2024
13/02/2024,0,3.2,9.7,3.1,2024
14/02/2024,1,2.5,14,7.3,2024
19/02/2024,1,NA,NA,NA,2024
20/02/2024,0,0.5,13.4,4.3,2024
21/02/2024,1,2.3,13.9,7.8,2024
22/02/2024,0,3,9.3,3.1,2024
23/02/2024,0,0.6,8.1,2.6,2024
24/02/2024,0,0.2,8.7,0.9,2024
27/02/2024,0,0.6,11.5,0.3,2024
28/02/2024,0,3.5,13,3.7,2024
29/02/2024,0,1.1,9,1.2,2024
03/03/2024,0,0.9,9.1,1.5,2024
04/03/2024,0,6.7,8,1,2024
05/03/2024,0,2.2,12.1,2.4,2024
06/03/2024,0,0,10.8,0.9,2024
07/03/2024,0,0,9.7,6.9,2024
08/03/2024,1,0,7.8,5.2,2024
09/03/2024,0,0.4,8.1,5.7,2024
10/03/2024,1,3.5,8.6,6.9,2024
11/03/2024,0,7.7,9.6,6.7,2024
12/03/2024,0,0.2,15.1,6.7,2024
13/03/2024,0,11.2,12.5,7.8,2024
14/03/2024,1,8.3,15.2,7.4,2024
15/03/2024,1,0.3,13,2.2,2024
19/03/2024,0,0.5,13.3,8.3,2024
20/03/2024,0,5.5,11.7,2.9,2024
21/03/2024,0,1.6,13.6,3,2024
